Zdroj;Èas;prefix address;prefix mask;metrika;next-hop
B;1641600;5.102.224.0;21;[20/0];via 4.68.4.46
B;1641600;5.102.227.0;24;[20/0];via 4.68.4.46
B;1641600;5.102.232.0;21;[20/0];via 4.68.4.46
B;1641600;5.102.240.0;20;[20/0];via 4.68.4.46
B;1641600;5.102.240.0;21;[20/0];via 4.68.4.46
B;1641600;5.102.248.0;21;[20/0];via 4.68.4.46
B;1641600;5.103.0.0;16;[20/0];via 217.192.89.50
B;1641600;5.104.0.0;20;[20/0];via 202.232.0.2
B;1036800;5.104.0.0;24;[20/0];via 4.68.4.46
B;1036800;5.104.1.0;24;[20/0];via 4.68.4.46
B;1641600;5.104.3.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.4.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.5.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.6.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.7.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.8.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.9.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.10.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.11.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.12.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.13.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.14.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.15.0;24;[20/0];via 202.232.0.2
B;1641600;5.104.16.0;21;[20/0];via 64.71.137.241
B;183600;5.104.24.0;24;[20/0];via 212.66.96.126
B;1641600;5.104.26.0;23;[20/0];via 217.192.89.50
B;1641600;5.104.28.0;23;[20/0];via 217.192.89.50
B;1641600;5.104.30.0;24;[20/0];via 217.192.89.50
