Zdroj;čas;prefix address;prefix mask;metrika;next-hop;;;
B;2w5d;5.102.204.0;23;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.208.0;20;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.208.0;22;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.214.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.216.0;23;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.224.0;19;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.224.0;20;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.224.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.227.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.232.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.240.0;20;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.240.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.248.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.103.0.0;16;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.104.0.0;20;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;1w5d;5.104.0.0;24;[20/0];via 4.68.4.46;1w5d;288:00:00;1036800
B;1w5d;5.104.1.0;24;[20/0];via 4.68.4.46;1w5d;288:00:00;1036800
B;2w5d;5.104.3.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.4.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.5.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.6.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.7.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.8.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.9.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.10.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.11.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.12.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.13.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.14.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.15.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.104.16.0;21;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2d03h;5.104.24.0;24;[20/0];via 212.66.96.126;2d03h;51:00:00;183600
B;2w5d;5.104.26.0;23;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.104.28.0;23;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.104.30.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.104.31.0;24;[20/0];via 12.0.1.63;2w5d;456:00:00;1641600
B;5d07h;5.104.32.0;19;[20/0];via 217.192.89.50;5d07h;127:00:00;457200
B;1d23h;5.104.64.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;6d04h;5.104.66.0;24;[20/0];via 94.142.247.3;6d04h;148:00:00;532800
B;6d04h;5.104.67.0;24;[20/0];via 94.142.247.3;6d04h;148:00:00;532800
B;2w6d;5.104.68.0;24;[20/0];via 202.232.0.2;2w6d;480:00:00;1728000
B;2w1d;5.104.72.0;24;[20/0];via 4.68.4.46;2w1d;360:00:00;1296000
B;2w1d;5.104.73.0;24;[20/0];via 4.68.4.46;2w1d;360:00:00;1296000
B;2w1d;5.104.74.0;24;[20/0];via 4.68.4.46;2w1d;360:00:00;1296000
B;13:46:10;5.104.75.0;24;[20/0];via 4.68.4.46;13:46:10;13:46:10;49570
B;1d23h;5.104.76.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;2w5d;5.104.80.0;22;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.104.84.0;22;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w6d;5.104.88.0;21;[20/0];via 217.192.89.50;2w6d;480:00:00;1728000
B;2w6d;5.104.96.0;21;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;2w1d;5.104.104.0;21;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;1w6d;5.104.112.0;20;[20/0];via 94.142.247.3;1w6d;312:00:00;1123200
B;13:14:06;5.104.128.0;21;[20/10];via 89.149.178.10;13:14:06;13:14:06;47646
B;2w1d;5.104.136.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.104.137.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.104.138.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.104.139.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.104.141.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.104.142.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.104.143.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;1w4d;5.104.144.0;21;[20/1521];via 144.228.241.130;1w4d;264:00:00;950400
B;2w5d;5.104.152.0;22;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;5d23h;5.104.156.0;23;[20/0];via 193.0.0.56;5d23h;143:00:00;514800
B;1w1d;5.104.159.0;24;[20/0];via 217.192.89.50;1w1d;192:00:00;691200
B;2w4d;5.104.160.0;21;[20/0];via 217.192.89.50;2w4d;432:00:00;1555200
B;1w0d;5.104.168.0;23;[20/0];via 64.71.137.241;1w0d;168:00:00;604800
B;2w1d;5.104.170.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.171.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.172.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.173.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.174.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w5d;5.104.175.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w1d;5.104.176.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.177.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.178.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.104.179.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w6d;5.104.180.0;24;[20/0];via 217.192.89.50;2w6d;480:00:00;1728000
